NAME	platelet	erythroid	neutrophil	monocyte	macrophage	myeloid prog	dendritic cell	basophil	mast cell	b cell	plasma cell	plasmablast	t cell	nk cell	ILC	HSPC	thymocyte	adventitial cell	fibroblast/mesenchymal stem cell	pericyte cell	smooth muscle cell	stromal cell	endothelial cell
ZNF124	1.0	4.7124928792419	1.0	41.4995347322317	23.4488078601825	53.6773471982414	32.0138564000152	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.6314064199873	60.6955402974173	71.7442983254818	14.1417281883734	1.0	1.0	1.0	1.0	51.2847409241738
ZNF131	22.3333091382412	37.3605992206092	1.0	69.2425828161689	26.4981752865623	141.485144613647	32.7437032528776	19.8380092462267	95.6854530490938	200.120056444657	26.5784805693874	15.5609183239314	106.633896530864	114.113181028297	130.705044283179	182.876750868931	133.494685112474	64.0025228359624	52.5868297427027	106.587156881119	38.4621899228787	1.0	70.9895242178695
ZNF133	1.0	1.0	1.0	1.0	1.0	13.9632406153907	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.69416147618929	1.0	12.9298086134308	1.0	1.0	30.544087467943
ZNF134	1.0	14.5829784468479	1.0	1.0	1.0	25.0176607589269	1.0	23.5297114948268	1.0	31.4187787317184	1.0	14.377424523375	25.6008716036742	1.0	22.2844957380731	21.1953240386895	77.9981563308622	8.102686033204	1.0	16.7330143458948	1.0	1.0	22.7266459952982
ZNF135	1.0	1.0	1.0	1.0	1.0	13.3123557621297	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0864175494553	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ZNF136	1.0	1.0	1.0	1.0	29.1226416098387	25.8508645341752	30.0832945556073	30.3243641822594	13.0359732457702	1.0	1.0	4.07027426877245	62.5016588585129	53.5428906076069	61.6965718476207	43.5470797170282	1.0	6.3171650284779	16.8933402214577	16.8562972349592	12.2236269436553	31.481901308611	10.3058591580704
ZNF138	1.0	10.3757916421902	1.0	1.0	8.37248319630605	42.3002353364439	1.0	33.3451619648188	1.0	62.6469606414337	1.0	4.07027426877245	94.0951536111182	60.6365288065082	78.201226491792	41.5213090296415	33.9010924211791	3.91501568022247	38.7914091173539	70.4775600816511	5.767399600657	1.0	14.3574373515876
ZNF14	1.0	1.0	1.0	18.9251209815108	1.0	7.13525924931569	1.0	40.560768080858	31.7760604808604	35.4185115711106	1.0	15.5212551826984	1.0	1.0	1.0	6.30029985107698	1.0	1.0	1.0	1.0	1.0	1.0	16.3626644269736
ZNF140	1.0	7.18505804712589	1.0	25.5330419350899	1.0	21.4240358295089	22.0084033613445	26.4020376066505	15.8045045943295	133.772688164665	1.0	4.07027426877245	22.0297335274295	1.0	1.0	48.2890103466354	1.0	30.4931668568561	16.0202585270179	40.8996171612328	1.0	1.0	26.0967104166878
ZNF141	1.0	38.6905949994415	1.0	56.3654091324385	45.1894123617505	136.110140972039	61.3483754603156	33.4071598042529	70.446047200982	160.599928964925	38.7357038502002	16.8202076676319	162.927569787369	48.9495799049222	101.2973435753	69.8707594914053	127.76172997858	63.160921896093	75.8681869117737	109.550980920326	25.7165391973737	49.7063633649133	19.6911844441386
